time (milliseconds since 1970-01-01),electron_flux_e1 (e/(cm^2 s sr))
1.4483157E12,3186.1201171875
1.448316E12,3102.860107421875
1.4483163E12,3084.7900390625
1.4483166E12,3089.219970703125
1.4483169E12,3059.6201171875
1.4483172E12,3006.919921875
1.4483175E12,2988.72998046875
1.4483178E12,2992.199951171875
1.4483181E12,2901.949951171875
1.4483184E12,2940.010009765625
1.4483187E12,2899.610107421875
1.448319E12,2913.8798828125
1.4483193E12,2893.25
1.4483196E12,2904.5
1.4483199E12,2794.929931640625
1.4483202E12,2763.489990234375
1.4483205E12,2814.25
1.4483208E12,2797.909912109375
1.4483211E12,2746.840087890625
1.4483214E12,2743.010009765625
1.4483217E12,2690.7900390625
1.448322E12,2679.840087890625
1.4483223E12,2613.929931640625
1.4483226E12,2590.8701171875
1.4483229E12,2544.56005859375
1.4483232E12,2518.3798828125
1.4483235E12,2468.22998046875
1.4483238E12,2455.840087890625
1.4483241E12,2483.280029296875
1.4483244E12,2494.75
1.4483247E12,2479.6298828125
1.448325E12,2462.239990234375
1.4483253E12,2450.6298828125
1.4483256E12,2467.97998046875
1.4483259E12,2450.389892578125
1.4483262E12,2404.739990234375
1.4483265E12,2391.159912109375
1.4483268E12,2413.669921875
1.4483271E12,2395.919921875
1.4483274E12,2363.43994140625
1.4483277E12,2416.610107421875
1.448328E12,2388.419921875
1.4483283E12,2368.429931640625
1.4483286E12,2354.8798828125
1.4483289E12,2398.169921875
1.4483292E12,2452.6298828125
1.4483295E12,2411.4599609375
1.4483298E12,2450.52001953125
1.4483301E12,2448.969970703125
1.4483304E12,2437.0400390625
1.4483307E12,2409.4599609375
1.448331E12,2379.239990234375
1.4483313E12,2395.889892578125
1.4483316E12,2425.050048828125
1.4483319E12,2393.31005859375
1.4483322E12,2387.72998046875
1.4483325E12,2376.909912109375
1.4483328E12,2354.760009765625
1.4483331E12,2355.1201171875
1.4483334E12,2313.840087890625
1.4483337E12,2306.949951171875
1.448334E12,2297.89990234375
1.4483343E12,2252.219970703125
1.4483346E12,2239.89990234375
1.4483349E12,2240.4599609375
1.4483352E12,2233.35009765625
1.4483355E12,2233.43994140625
1.4483358E12,2225.719970703125
1.4483361E12,2207.820068359375
1.4483364E12,2230.110107421875
